FamilyName	StyleName	xHeight	CapHeight	Weight	Contrast	Lesser Thickness Slope	Superior Overshooting	Inferior Overshooting	Ascenders	Descenders	n Expansion	o Expansion	n/o Ratio	O Expansion	R Expansion	R/O Ratio	AltezzaMassimaH	PuntoMedioAstaOrizzontaleH	PuntoMedioAstaVerticaleT	AggettoSinistroT	AggettoDestroT	SimmetriaAggettiT	o Average Squaring	o Internal Squaring	o External Squaring	Bezier	Grazie	Spacing
Daxline	Black	539	1.3432	0.3599	0.77	0	0.0241	0.0241	1.4656	-0.2041	0.5455	0.6085	0.9	0.6827	0.6234	0.91	724	0.5	0.5	123	123	False	0.6349	0.667	0.6028	curve	Sans	Proportional
Daxline	Bold	539	1.3432	0.2523	0.79	0	0.0223	0.0223	1.4619	-0.205	0.5798	0.6531	0.89	0.7774	0.6521	0.84	724	0.5069	0.501	153	152	True	0.627	0.6464	0.6077	curve	Sans	Proportional
Daxline	Extrabold	539	1.3432	0.3061	0.78	0	0.0223	0.0223	1.4638	-0.2041	0.5622	0.6327	0.89	0.731	0.6382	0.87	724	0.5035	0.5	138	138	False	0.6302	0.6563	0.6042	curve	Sans	Proportional
Daxline	Light	539	1.3432	0.1095	0.83	0	0.0186	0.0186	1.4582	-0.2059	0.6252	0.7143	0.88	0.9109	0.6902	0.76	724	0.5173	0.501	193	192	True	0.6203	0.6274	0.6133	curve	Sans	Proportional
Daxline	Medium	539	1.3432	0.2041	0.79	0	0.0204	0.0204	1.4601	-0.205	0.5965	0.6753	0.88	0.8256	0.666	0.81	724	0.5104	0.501	167	166	True	0.622	0.6359	0.608	curve	Sans	Proportional
Daxline	Regular	539	1.3432	0.154	0.82	0	0.0204	0.0204	1.4582	-0.205	0.6113	0.6957	0.88	0.8683	0.679	0.78	724	0.5138	0.5	180	180	False	0.6193	0.6281	0.6105	curve	Sans	Proportional
Daxline	Thin	539	1.3432	0.0705	0.89	0	0.0186	0.0186	1.4564	-0.2059	0.6382	0.731	0.87	0.9462	0.7013	0.74	724	0.5193	0.5	203	203	False	0.6182	0.6209	0.6155	curve	Sans	Proportional
Proforma	Bold	447	1.4631	0.3087	0.39	-6	0.0515	0.0515	1.6263	-0.4877	0.6834	0.7136	0.96	1.1387	0.6868	0.6	654	0.5107	0.4992	85	85	False	0.6759	0.7523	0.5994	curve	Serif	Proportional
Proforma	Book	447	1.4631	0.1477	0.47	-2	0.0492	0.0492	1.6106	-0.5078	0.6387	0.7852	0.81	1.1723	0.6331	0.54	654	0.5115	0.5017	94	93	True	0.6247	0.6337	0.6156	curve	Serif	Proportional
Proforma	Light	447	1.4631	0.1141	0.5	0	0.047	0.047	1.6084	-0.5123	0.6309	0.7998	0.79	1.1779	0.6219	0.53	654	0.5122	0.5026	95	94	True	0.618	0.6157	0.6204	curve	Serif	Proportional
Proforma	Medium	447	1.4631	0.1902	0.43	-3	0.0492	0.0492	1.6151	-0.5022	0.651	0.7662	0.85	1.1622	0.6477	0.56	654	0.5115	0.5	91	91	False	0.6354	0.659	0.6118	curve	Serif	Proportional
Proforma	Semibold	447	1.4631	0.2438	0.4	-5	0.0492	0.0492	1.6196	-0.4955	0.6655	0.7427	0.9	1.1521	0.6655	0.58	654	0.5107	0.4992	88	88	False	0.65	0.6938	0.6062	curve	Serif	Proportional
Proforma	Ultralight	447	1.4631	0.094	0.55	0	0.047	0.047	1.6062	-0.5145	0.6253	0.8087	0.77	1.1823	0.6152	0.52	654	0.5122	0.5009	96	95	True	0.6143	0.6064	0.6222	curve	Serif	Proportional
Todayshop	Bold	473	1.4144	0.3531	0.76	-5	0.0148	0.0317	1.482	-0.2495	0.6596	0.7516	0.88	1.074	0.7135	0.66	656	0.5122	0.5009	187	187	False	0.5958	0.5851	0.6066	curve	Sans	Proportional
Todayshop	Light	446	1.4955	0.1278	0.77	3	0.0045	0.0247	1.5897	-0.3105	0.6704	0.8475	0.79	1.3352	0.7108	0.53	656	0.5244	0.5019	235	234	True	0.5972	0.5876	0.6068	curve	Sans	Proportional
Todayshop	Medium	458	1.4607	0.2511	0.75	-4	0.0109	0.0306	1.5327	-0.2773	0.6572	0.7904	0.83	1.1998	0.7129	0.59	656	0.5168	0.5	211	211	False	0.6057	0.5863	0.625	curve	Sans	Proportional
Todayshop	Regular	453	1.4834	0.181	0.73	-3	0	0.0287	1.5541	-0.2936	0.6534	0.8068	0.81	1.2693	0.7042	0.55	656	0.5259	0.4991	226	226	False	0.5817	0.5817	0.5818	curve	Sans	Proportional
Todayshop	Ultra	495	1.3515	0.4566	0.77	2	0.0081	0.0323	1.4101	-0.2121	0.6505	0.7051	0.92	0.9313	0.7061	0.76	656	0.5046	0.5009	160	160	False	0.6069	0.5908	0.623	curve	Sans	Proportional
